Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.000822453, 0.0003424, 0.000479172, 4.6727e-05, 2394, 4206, 2337
0.000835199, 0.000327502, 0.000507267, 5.8865e-05, 2511, 4401, 3321
0.00099602, 0.000400722, 0.000594658, 6.3971e-05, 2568, 4704, 2460
0.00115632, 0.000535653, 0.000618659, 6.7232e-05, 2701, 4798, 2460
0.000978869, 0.000409292, 0.000568885, 7.0171e-05, 2654, 4714, 3567
0.000949551, 0.000407459, 0.00054151, 7.4374e-05, 2681, 4730, 3198
0.000923127, 0.000421638, 0.000501029, 5.3699e-05, 2646, 4732, 3075
0.000876428, 0.000398238, 0.000477489, 6.6213e-05, 2686, 4567, 3567
0.000980531, 0.000491487, 0.000488283, 6.5583e-05, 2590, 4167, 3321
0.000871021, 0.000356885, 0.000513524, 7.832e-05, 2584, 4282, 3936
0.000886471, 0.000347353, 0.000538687, 6.9587e-05, 2513, 4395, 2952
0.000798157, 0.00035303, 0.000444677, 6.0979e-05, 2528, 4262, 3075
0.0010695, 0.000452825, 0.000615335, 6.7728e-05, 2588, 4234, 3075
0.000895927, 0.000419302, 0.000476145, 3.6598e-05, 2563, 4406, 1722
0.00091278, 0.000393068, 0.000519011, 6.4118e-05, 2585, 4376, 2829
0.000969994, 0.000378949, 0.000590583, 6.4004e-05, 2650, 4612, 2829
0.000909465, 0.000380612, 0.000528233, 6.8216e-05, 2629, 4417, 2337
0.000870465, 0.000329986, 0.000539887, 7.6229e-05, 2568, 4359, 3198
0.000852622, 0.000323378, 0.000528663, 9.6412e-05, 2532, 4107, 3690
0.000930473, 0.000335493, 0.000594489, 7.0925e-05, 2570, 4235, 3444
0.000784093, 0.00031715, 0.000466503, 5.1258e-05, 2624, 4195, 2952
0.000822844, 0.000314917, 0.000507295, 5.1566e-05, 2549, 4291, 2952
0.000883504, 0.000394155, 0.000488739, 6.4369e-05, 2622, 4264, 3567
0.000833049, 0.000360942, 0.000471386, 4.5809e-05, 2485, 4181, 2460
0.000769476, 0.000322472, 0.000446564, 5.9432e-05, 2522, 4227, 3567
0.000917629, 0.000394766, 0.000522313, 5.6504e-05, 2608, 4403, 2952
0.000859313, 0.00033693, 0.000521571, 5.9569e-05, 2627, 4361, 3690
0.000808787, 0.000316684, 0.000491402, 4.0884e-05, 2513, 4241, 2214
0.000867935, 0.000326576, 0.000540917, 8.2218e-05, 2605, 4438, 4551
0.000881032, 0.000338632, 0.000541658, 5.2099e-05, 2635, 4586, 2583
0.000881542, 0.000349737, 0.000531395, 6.5175e-05, 2651, 4592, 3567
0.000821204, 0.000332434, 0.000488118, 7.4148e-05, 2580, 4323, 4428
0.000824939, 0.000320914, 0.000503675, 6.056e-05, 2515, 4109, 3567
0.000708516, 0.00031077, 0.000396913, 4.7874e-05, 2447, 3746, 2952
0.000861147, 0.000355019, 0.000505397, 7.1403e-05, 2515, 4237, 4182
0.0010165, 0.000399988, 0.000615953, 8.1511e-05, 2505, 4316, 4551
